,Name,Symbol,Start,Internal,End,Formula,Exact Mass,,,,
,g,m2G/m7G,TRUE,TRUE,FALSE,C11H15N5O5+P1+O2-H1,359.0630849,,,,
,D,D,TRUE,TRUE,FALSE,C9H14N2O6+P1+O2-H1,308.0409525,,,,
,c,m3C/m5C/m4C,TRUE,TRUE,FALSE,C10H15N3O5+P1+O2-H1,319.0569369,,,,
,T,m5U,TRUE,TRUE,FALSE,C10H14N2O6+P1+O2-H1,320.0409525,,,,
,m,m22G,TRUE,TRUE,FALSE,C12H17N5O5+P1+O2-H1,373.0787,,,,
,a,m1A/m6A,TRUE,TRUE,FALSE,C11H15N5O4+P1+O2-H1,343.0681703,,,,
,Y,yW,TRUE,TRUE,FALSE,C21H28N6O9+P1+O2-H1,570.1475,,,,
,y,yW*,TRUE,TRUE,FALSE,C5H10O5+P1+O2-H1,212.0086,,YW*=OH,,
,p,Ïˆ,True,True,False,C9H12N2O6+P1+O2-H1,557.2251,,,,
